 id  |         name         | n posts | n comment 
 282 | DORIS WARREN         |       7 |        18
  63 | DUANE LINDSEY        |       6 |        20
 483 | DUSTIN JACOBSON      |       5 |        11
 283 | DWAYNE PAYNE         |       2 |        25
  82 | EDDIE WEBER          |       3 |        12
 118 | EDDIE ZAMORA         |       5 |        19
 254 | EDUARDO BUTLER       |       4 |        10
 214 | EDUARDO ROSALES      |       2 |        16
 432 | EDWARD MORGAN        |       5 |        10
 120 | EDWIN EDWARDS        |       3 |        18
 116 | EDWIN HARRIS         |       6 |        15
  77 | EDWIN SUTTON         |       7 |        14
 337 | EILEEN ALFORD        |       7 |        23
 439 | ELEANOR DILLON       |       4 |        11
 344 | ELIZABETH STUART     |       8 |        14
 392 | ELLA BURTON          |       3 |        16
 224 | ELLA MCKAY           |      10 |        19
 373 | ELLEN BOND           |       7 |        16
 436 | EMMA ALBERT          |       2 |        12
 136 | ERIC BERRY           |       3 |        22
 119 | ERIC DIAZ            |       2 |        20
 472 | ERIK DAVIS           |       3 |        11
 301 | ERIN MARTIN          |       4 |        14
 107 | ERIN SYKES           |       2 |        22
 298 | ERNEST ARMSTRONG     |       3 |        13
 358 | EVELYN GRIMES        |       6 |        14
 191 | EVELYN HALEY         |       6 |        19
 179 | EVERETT MITCHELL     |       3 |        19
 289 | EVERETT PATTON       |       4 |        16
 334 | FANNIE MARTINEZ      |       3 |        22
 141 | FELIX WALL           |       6 |        12
  55 | FRANCISCO WYATT      |       4 |        15
 102 | FRANK PICKETT        |       3 |        22
 388 | FRANK SHEPPARD       |       3 |        22
 357 | FRANKLIN LOWERY      |       3 |        14
 460 | FREDERICK LEVINE     |       8 |        13
  91 | GARY BLACKBURN       |       3 |        13
 302 | GEORGE MCKEE         |       5 |        18
 167 | GERALD ROTH          |       7 |        11
  33 | GERALDINE MACDONALD  |       5 |        16
  49 | GILBERT GOODWIN      |       5 |        18
 399 | GLEN BROWNING        |       5 |        16
  51 | GLEN SMALL           |       3 |         7
  57 | GLENDA STOUT         |       3 |        15
  61 | GORDON BENTLEY       |       2 |        17
 242 | GORDON GILLIAM       |       4 |        11
 405 | GORDON GRANT         |       5 |        12
 387 | GORDON RUIZ          |       3 |        16
 410 | GRACE HOUSTON        |       5 |        11
 437 | GREG BAIRD           |       3 |        13
 477 | GREG RASMUSSEN       |       4 |        19
 473 | GREGORY FRYE         |       3 |        29
 494 | GUY MURRAY           |       4 |        17
 122 | GUY ONEIL            |       5 |        15
 314 | GWENDOLYN PRINCE     |       2 |        10
 126 | HANNAH BOOTH         |       3 |         7
  40 | HAROLD MORALES       |       6 |        14
  93 | HAROLD SINGLETON     |       5 |        17
 390 | HARVEY UNDERWOOD     |       4 |        15
 315 | HATTIE WILKINSON     |       3 |        16
 468 | HAZEL COOK           |       2 |        17
  95 | HECTOR DUNN          |       3 |        18
 262 | HERMAN FLETCHER      |       3 |        18
 443 | HOWARD MERCADO       |       8 |        17
 237 | HOWARD WARE          |       4 |        14
  90 | HUGH ABBOTT          |       4 |        15
 185 | HUGH HORN            |       4 |        12
  28 | HUGH LINDSEY         |       2 |        14
  14 | INEZ GIBBS           |       4 |        12
 135 | IRMA LAWSON          |       7 |         9
 414 | ISAAC DURAN          |       2 |        25
 381 | ISAAC MORENO         |       4 |        16
 395 | ISABEL JONES         |       3 |        18
 277 | IVAN CALDWELL        |       2 |        17
  19 | IVAN PADILLA         |       3 |        16
 338 | IVAN VAUGHN          |       4 |        16
 411 | JACK HORTON          |       2 |        25
 394 | JACQUELINE ODOM      |       4 |        14
 407 | JAMES BARLOW         |       4 |        14
 397 | JAMIE FUENTES        |       3 |        19
 364 | JAMIE GAMBLE         |       3 |        21
 216 | JAN BRADSHAW         |       5 |        22
 305 | JAN LEON             |       6 |        20
 377 | JAN ROBERTSON        |       2 |        16
 253 | JANET RAYMOND        |       6 |        14
 311 | JANICE LITTLE        |       6 |        17
 198 | JARED BRIGGS         |       6 |        13
   6 | JARED GILMORE        |       2 |        21
 352 | JASON WHITNEY        |       3 |        17
 403 | JAVIER BARTON        |       4 |        25
 428 | JAVIER ROMERO        |       1 |        15
 268 | JAVIER TOWNSEND      |       7 |        13
 112 | JAY CLEMENTS         |       4 |         8
 177 | JAY COOPER           |       7 |        15
 219 | JAY DICKERSON        |       4 |        19
  50 | JAY JUSTICE          |       7 |        15
 362 | JEANNETTE BRAY       |      11 |        24
 261 | JEANNETTE MCCOY      |       4 |        10
 374 | JEANNETTE WORKMAN    |       6 |        18
  70 | JEFFERY BLANCHARD    |       8 |        16
 471 | JEREMY CARDENAS      |       5 |        19
 485 | JEREMY PATTERSON     |       4 |        15
 218 | JEROME ATKINSON      |       7 |        20
   2 | JESSIE YANG          |       1 |        18
 109 | JILL COFFEY          |       5 |        16
 489 | JIMMIE ALFORD        |       1 |        18
  23 | JIMMY GOULD          |       8 |        22
 150 | JOAN JOHNSON         |       5 |        18
 380 | JOANNA TYSON         |       6 |        11
 444 | JODI HENSLEY         |       3 |        16
  71 | JODI SUTTON          |       4 |        25
 497 | JOEL ASHLEY          |       3 |        13
 495 | JOHN MCGEE           |       4 |        13
 257 | JOHN WARREN          |       3 |        13
 498 | JOHNNIE BRENNAN      |       4 |        11
 239 | JOHNNIE EWING        |       5 |        14
 457 | JOHNNIE PATRICK      |       4 |        12
 465 | JON TURNER           |       5 |        24
 306 | JONATHAN STEPHENSON  |       4 |        15
 232 | JORGE ADAMS          |       3 |        15
 201 | JOSE ROY             |       3 |        17
 393 | JOSEPHINE MEADOWS    |       3 |        24
 478 | JOSHUA SHELTON       |       3 |        24
 401 | JOY ORR              |       5 |        15
   0 | JOYCE MCLEOD         |       2 |        16
 480 | JUAN WEAVER          |       2 |        15
 349 | JUANITA KELLY        |       2 |        19
 143 | JUDITH HARDIN        |       3 |        23
 370 | JULIA TRAN           |       1 |        18
 361 | JULIAN ESTRADA       |       4 |         9
 442 | JUSTIN HUNT          |       6 |        12
 400 | KARL KAUFMAN         |       7 |        18
 332 | KARLA CASTILLO       |       7 |        20
 240 | KATHRYN EVANS        |       4 |        19
 416 | KATHY VAUGHN         |       2 |        18
 331 | KATRINA RHODES       |       5 |        16
 144 | KAYLA MORSE          |       4 |        12
 450 | KEITH BERNARD        |      10 |        18
 172 | KELLY BUTLER         |       8 |        16
  88 | KELLY CALDWELL       |       4 |        15
 210 | KELLY NIELSEN        |       3 |        17
 379 | KELLY STANTON        |       6 |        16
  68 | KEN OWEN             |       3 |        15
 235 | KENNETH BEARD        |       3 |        15
 153 | KENT VALENCIA        |       3 |        20
 264 | KEVIN CUMMINGS       |       5 |        12
 258 | KIRK HESS            |       5 |        12
 164 | KRISTEN PEARSON      |       5 |        19
 208 | KRISTI HOFFMAN       |       2 |        14
 389 | KRISTY PACHECO       |       5 |        17
 458 | KURT BREWER          |       4 |        17
   7 | KURT MALDONADO       |       2 |        15
 212 | KURT WADE            |       3 |        13
  53 | KYLE BRADSHAW        |       8 |        11
 272 | KYLE DEJESUS         |       7 |        15
 488 | KYLE ESTRADA         |       3 |        22
 209 | KYLE LAWRENCE        |       3 |        16
 455 | LANCE KENT           |       8 |        18
 156 | LARRY LLOYD          |       4 |        17
 184 | LARRY PATEL          |       3 |        11
 304 | LARRY SULLIVAN       |       5 |        14
  29 | LEO SARGENT          |       2 |        11
 454 | LEON CRANE           |       6 |        18
 111 | LEONA JOHNS          |       3 |        16
 415 | LEONA SULLIVAN       |       5 |        14
  79 | LESLIE FLORES        |       4 |        17
 296 | LILLIAN CROSBY       |       1 |        17
  52 | LINDA GATES          |       4 |        20
 138 | LINDSEY CARVER       |       4 |        17
 408 | LISA MARQUEZ         |       3 |        13
  16 | LLOYD BERGER         |       5 |        12
 462 | LLOYD CALLAHAN       |       3 |        21
 244 | LLOYD GUERRA         |       6 |        14
 260 | LLOYD STRONG         |       7 |        12
 335 | LONNIE DICKERSON     |       1 |        21
 200 | LONNIE FRENCH        |       4 |        16
 123 | LORETTA WATKINS      |       4 |        19
  98 | LORI PATE            |       3 |        21
 470 | LORRAINE NOEL        |       3 |        14
 378 | LOUIS MCINTOSH       |       5 |        23
 341 | LYDIA ABBOTT         |       4 |         8
 333 | LYNDA AGUILAR        |       4 |        19
 343 | LYNDA WINTERS        |       2 |        11
 281 | LYNN LAWRENCE        |       8 |        16
  67 | MABEL BLACKWELL      |       3 |        13
  58 | MABEL NOEL           |       4 |        16
 278 | MAE WAGNER           |       3 |        12
 367 | MAGGIE BATES         |       1 |        22
 490 | MARC NICHOLS         |       8 |        16
 139 | MARCIA MENDEZ        |       3 |        12
 330 | MARCUS LAWRENCE      |       4 |        13
 290 | MARGARET HESS        |       3 |        10
  35 | MARGUERITE MCCORMICK |       3 |        19
 181 | MARIO FREEMAN        |       5 |        13
 193 | MARIO GILL           |       3 |        18
 422 | MARION ELLIOTT       |       3 |        18
  25 | MARION EMERSON       |       6 |         8
 365 | MARION MCKENZIE      |       8 |        16
  18 | MARK ALVAREZ         |       8 |        20
 492 | MARK MYERS           |       6 |        14
 474 | MARLENE COOPER       |       3 |        13
 294 | MARSHALL CANNON      |       3 |        17
 132 | MARSHALL ESTRADA     |       5 |         8
 225 | MARTIN HARDING       |       4 |        17
 420 | MARVIN HOOPER        |       5 |        17
 446 | MARVIN PERRY         |       5 |        18
  62 | MARY ARNOLD          |       2 |        13
 359 | MARYANN WALKER       |       2 |        12
   5 | MATHEW HOUSTON       |       7 |        16
 466 | MATTHEW GUTIERREZ    |       2 |        15
 140 | MATTHEW HOUSTON      |       1 |        10
 246 | MATTHEW WHITAKER     |       5 |        12
  87 | MAUREEN FOLEY        |       8 |        11
 236 | MAURICE MORENO       |       5 |        18
 467 | MEGAN DIAZ           |       2 |        17
  84 | MEGAN PACHECO        |       4 |        18
 233 | MELINDA ORTIZ        |       5 |        20
 355 | MELODY PETERSON      |       1 |        21
 178 | MICHELE CHRISTENSEN  |       1 |        19
 161 | MIGUEL MEJIA         |       3 |        19
 336 | MIGUEL WALSH         |       2 |        18
 487 | MILDRED DAVID        |       6 |        22
 449 | MILTON GOODWIN       |       2 |        20
 427 | MINNIE MCLEAN        |       1 |        15
 215 | MIRIAM DEJESUS       |       6 |        17
 291 | MIRIAM SWEET         |       2 |        22
 316 | MITCHELL CHERRY      |       7 |        17
 300 | MITCHELL DURHAM      |       2 |        14
 445 | MITCHELL LAMBERT     |       5 |         9
 247 | MOLLY COHEN          |       4 |        14
 350 | MORRIS DONOVAN       |       6 |        20
 363 | MORRIS HINES         |       2 |        10
 317 | MYRTLE WASHINGTON    |       4 |        17
 280 | NATALIE MICHAEL      |       3 |        16
  48 | NATASHA FUENTES      |       5 |        14
 402 | NELLIE SHANNON       |       7 |         9
 440 | NICOLE MACDONALD     |       2 |        12
  89 | NINA HORNE           |       2 |        15
 100 | NINA LINDSAY         |       5 |        16
 234 | NORMA BRUCE          |       8 |        10
  12 | OSCAR WOODARD        |       3 |        13
 121 | PAM BENDER           |       4 |        17
  38 | PAM HESS             |       3 |        10
 108 | PATRICIA MYERS       |       5 |        12
 327 | PAULA SEXTON         |       6 |        17
 149 | PAULINE VALENTINE    |       8 |        14
  31 | PEDRO ADKINS         |       8 |        16
 284 | PENNY ROBINSON       |       3 |        16
 222 | PENNY WELCH          |       2 |        21
 110 | PERRY PATTON         |       3 |        16
 286 | PETER SUAREZ         |       5 |        15
  21 | PRISCILLA RAMSEY     |       6 |        15
 464 | RAFAEL VELEZ         |       3 |         9
 204 | RAFAEL WILLIAM       |       6 |        19
  11 | RALPH BYRD           |       2 |        11
 318 | RAY PHELPS           |       1 |        14
 221 | RAY ROWE             |       5 |         9
 176 | RAYMOND LANG         |       4 |        12
  26 | REGINA BLAIR         |       4 |        18
  83 | REGINA NEWTON        |       4 |        16
 125 | RHONDA FARLEY        |       2 |        21
 256 | RICARDO BAXTER       |       5 |        16
 267 | RICARDO SCOTT        |       3 |        18
 279 | RICARDO VILLARREAL   |       2 |        13
 342 | RICHARD WHITE        |       7 |        17
 155 | RICK RIGGS           |       3 |        15
  72 | RICKY HORTON         |       3 |        13
 372 | ROBIN DELGADO        |       3 |        10
 326 | ROGER CERVANTES      |       3 |        16
 356 | ROGER MCLEOD         |       4 |        17
 419 | ROLAND ANTHONY       |       3 |         8
  13 | ROLAND DOTSON        |       4 |        22
 152 | RON WATERS           |       3 |         8
  15 | RONALD ATKINSON      |       3 |         9
 241 | RONALD SCHMIDT       |       2 |        13
 339 | RONNIE JOYNER        |       3 |        22
 211 | RONNIE MCMAHON       |       5 |        22
 128 | ROSA WALKER          |       5 |        15
 321 | ROSE BYERS           |       1 |        11
 303 | ROY MAYER            |       2 |        16
 145 | RUBEN HATFIELD       |       2 |        14
 134 | RUSSELL CLEMONS      |       7 |         9
 129 | RUSSELL STRICKLAND   |       2 |        16
 188 | RUTH DYER            |       2 |        13
 484 | SALLY BUCKNER        |       2 |        16
 406 | SAM BEASLEY          |       9 |        17
 169 | SAM TYSON            |       2 |        15
 404 | SAMUEL PHELPS        |       4 |        18
 230 | SAMUEL STEPHENS      |       2 |        17
 292 | SEAN HAMMOND         |       5 |        19
 491 | SEAN HARVEY          |       4 |        21
   9 | SERGIO CAIN          |       5 |        26
 250 | SERGIO DODSON        |       3 |        15
 431 | SETH FAULKNER        |       2 |        12
 348 | SETH MARSH           |       3 |        15
 463 | SHELLEY NOBLE        |       3 |        17
   8 | SHERRY WRIGHT        |       5 |        21
 115 | SONYA WITT           |       4 |        18
 170 | STACY LANDRY         |       1 |        16
 384 | STACY TERRY          |       1 |        14
 340 | STELLA POOLE         |       7 |        13
 313 | STEPHEN ALLEN        |       5 |        12
 353 | STEVE FRAZIER        |       6 |        13
  56 | STEVE RICH           |       6 |        13
 202 | STEVEN BURGESS       |       9 |        15
 243 | STEVEN MONTOYA       |       4 |        11
 295 | SUE GLENN            |       2 |        16
  10 | SUZANNE RODRIQUEZ    |       6 |        14
 369 | SUZANNE VILLARREAL   |       7 |        16
 183 | TAMMY POTTER         |       4 |        19
 187 | TAMMY WYATT          |       5 |        20
  66 | TARA RAMIREZ         |       3 |        20
  32 | TERRENCE BRIGHT      |       1 |        15
  46 | TERRI BASS           |       6 |        22
 194 | TERRY AGUILAR        |       2 |        13
 269 | TERRY MCCONNELL      |       6 |        17
 418 | TERRY SEXTON         |       4 |        20
 270 | TERRY SNYDER         |       3 |        22
  74 | THEODORE LARSON      |       2 |        19
  75 | THERESA COOPER       |       5 |        16
 287 | THERESA MOON         |       4 |        12
 171 | THOMAS ESTRADA       |       5 |        17
 274 | TIFFANY HOLMES       |       8 |        15
 456 | TIM PATEL            |       5 |         9
 423 | TIMOTHY MILLER       |       3 |        11
 266 | TIMOTHY WATSON       |       4 |        18
 325 | TINA HOFFMAN         |       5 |        11
  85 | TINA MULLINS         |       2 |        18
 453 | TINA SHELTON         |       5 |        22
 346 | TOM ATKINS           |       6 |        22
 131 | TOMMY FISHER         |       2 |        15
 496 | TONYA TORRES         |       2 |        18
 354 | TROY CAMPOS          |       2 |        16
  36 | TROY LANDRY          |       2 |        10
 382 | TYLER RAMSEY         |       2 |        14
 299 | TYRONE BEST          |       5 |        22
 173 | VALERIE GLENN        |       4 |        20
 323 | VANESSA NICHOLS      |       2 |        13
 448 | VERNON KIDD          |       3 |        19
  97 | VICTORIA MARSHALL    |       2 |        17
 255 | VIOLA HALL           |       5 |        10
 328 | VIOLET BISHOP        |       4 |        11
 398 | VIRGIL LANGLEY       |       5 |        20
 412 | VIRGIL TORRES        |       3 |         6
 447 | VIVIAN RODRIQUEZ     |       3 |        20
 366 | WALLACE CARDENAS     |       8 |        24
 113 | WALLACE CONRAD       |       3 |        16
 368 | WALLACE WARD         |       5 |        18
 386 | WALTER COOLEY        |       4 |         9
 435 | WALTER TAYLOR        |       2 |        16
 114 | WALTER WISE          |       2 |        12
  22 | WARREN BRITT         |       5 |         7
 133 | WARREN LAWSON        |       5 |        19
 160 | WAYNE BRIGHT         |       6 |        25
 273 | WAYNE STARK          |       3 |         9
 438 | WESLEY SIMMONS       |       2 |        18
 385 | WESLEY WELLS         |       2 |        14
 271 | WHITNEY KOCH         |       3 |        18
 421 | WILLARD BATTLE       |       3 |         8
 207 | WILLARD NEWMAN       |       2 |        20
 196 | WILLIE ALSTON        |       8 |        10
   1 | WILLIE HAYES         |       3 |        19
 127 | WILLIE MYERS         |       2 |        19
 220 | WILMA HOLMES         |       4 |        14
  80 | YOLANDA HAYDEN       |       4 |        15
 142 | YOLANDA KNIGHT       |       3 |        21
 275 | YVETTE ATKINS        |       2 |        13
   3 | ZACHARY BARTLETT     |       1 |        14
 310 | ZACHARY FRANCO       |       5 |        16
(491 rows)
