 groupid |               group name                |     group owner      | group members 
     347 | Xenophobia                              | TERRY MCCONNELL      |            16
     322 | Truth                                   | TINA HOFFMAN         |            16
     126 | Guns                                    | TOM ATKINS           |            16
      73 | Design                                  | WESLEY SIMMONS       |            16
       5 | Acquisition                             | CECIL HANSEN         |            15
     111 | Football                                | COLLEEN ALVAREZ      |            15
     176 | Libertarianism                          | GRACE HOUSTON        |            15
     211 | Recording                               | JULIA TRAN           |            15
     305 | Swearing                                | LEON CRANE           |            15
     157 | Innovation                              | LEONA JOHNS          |            15
     224 | Opinion                                 | LONNIE FRENCH        |            15
     110 | Fools                                   | MARGARET HESS        |            15
     213 | Serialism                               | MARGUERITE MCCORMICK |            15
     300 | Sunrise / Sunset                        | RUTH DYER            |            15
      46 | Change                                  | SONYA WITT           |            15
     246 | Prejudice                               | TIMOTHY MILLER       |            15
     280 | Homosexuality                           | TINA HOFFMAN         |            15
       0 | Ability                                 | WESLEY WELLS         |            15
     166 | Isolation                               | ANDRE FUENTES        |            14
     226 | Optimism                                | ANNETTE TYSON        |            14
      53 | Common sense                            | ASHLEY HOLMES        |            14
     240 | Plants                                  | CAROLYN CONWAY       |            14
     345 | Work                                    | CHESTER QUINN        |            14
     115 | Friendship                              | EDWIN HARRIS         |            14
     287 | Smuggling                               | FREDERICK LEVINE     |            14
     341 | Wisdom                                  | GILBERT GOODWIN      |            14
      52 | Comics                                  | GORDON RUIZ          |            14
     148 | Ideology                                | JARED GILMORE        |            14
     330 | Valor                                   | MARION EMERSON       |            14
     132 | Hate                                    | MARTIN HARDING       |            14
     323 | Twelve-tone technique                   | RAFAEL WILLIAM       |            14
     146 | Identity                                | RALPH BYRD           |            14
     153 | Individuality                           | ROLAND DOTSON        |            14
     105 | Fathers                                 | RONNIE JOYNER        |            14
     139 | Humor                                   | ROSE BYERS           |            14
      39 | Brothers                                | SETH MARSH           |            14
     254 | Psychology                              | TERRI BASS           |            14
     143 | Husbands                                | VALERIE GLENN        |            14
     219 | Necessity                               | ALBERTO SHEPARD      |            13
     244 | Polyamory                               | CANDICE ROWLAND      |            13
      34 | Boats                                   | CLIFFORD SANDOVAL    |            13
      55 | Computers                               | EDDIE WEBER          |            13
      65 | Curiosity                               | IVAN CALDWELL        |            13
      64 | Curses                                  | JEANNETTE WORKMAN    |            13
     216 | Nationalism                             | JEFFERY BLANCHARD    |            13
     113 | Form                                    | JOEL ASHLEY          |            13
      88 | Conservation                            | KARLA CASTILLO       |            13
       7 | Admiration                              | KYLE DEJESUS         |            13
     103 | Fall (Autumn)                           | MARILYN LARSEN       |            13
      81 | Drugs                                   | MARSHALL ESTRADA     |            13
      94 | Ethics                                  | SAMUEL PHELPS        |            13
     232 | Patriotism                              | TAMMY WYATT          |            13
     222 | Normality                               | WHITNEY KOCH         |            13
     348 | Youth                                   | AGNES MIRANDA        |            12
      38 | Boys                                    | ALFRED BLANKENSHIP   |            12
      30 | Betrayal                                | BILLY TALLEY         |            12
     273 | Secrecy                                 | CLAUDIA CASTRO       |            12
     304 | Stupidity                               | DAISY MEYER          |            12
     268 | Sadism and Masochism                    | EDUARDO BUTLER       |            12
      12 | Alcohol                                 | ERIN MARTIN          |            12
     129 | Good                                    | EVERETT PATTON       |            12
     272 | Scratching                              | JUSTIN HUNT          |            12
     138 | Hope                                    | LINDA GATES          |            12
     293 | Soul                                    | LINDSEY CARVER       |            12
     168 | Justice                                 | MABEL NOEL           |            12
      33 | Blasphemy                               | TERRY MCCONNELL      |            12
     160 | Fark                                    | VIRGIL TORRES        |            12
     315 | Tolerance                               | ALEX VELAZQUEZ       |            11
     144 | Hypocrisy                               | ARMANDO KING         |            11
     277 | Sexuality                               | BRUCE ELLIOTT        |            11
     265 | Revolution                              | CANDACE DOYLE        |            11
     194 | Mathematics                             | CLAUDIA CASTRO       |            11
     151 | Immortality                             | DORIS WARREN         |            11
     225 | Opportunity                             | GREGORY FRYE         |            11
     112 | Forethought                             | HARVEY UNDERWOOD     |            11
     318 | Transgender                             | IVAN VAUGHN          |            11
     159 | Internet                                | JOEL ASHLEY          |            11
     130 | Great                                   | KYLE BRADSHAW        |            11
     271 | Science                                 | LEON CRANE           |            11
     279 | Heterosexuality                         | MARSHALL ESTRADA     |            11
     154 | Information                             | MOLLY COHEN          |            11
     298 | Suicide                                 | RICKY HORTON         |            11
     228 | Paranormal                              | ROGER MCLEOD         |            11
     178 | Libraries                               | STACY LANDRY         |            11
     234 | Perception                              | TYLER RAMSEY         |            11
     203 | Morality                                | AGNES MIRANDA        |            10
      49 | Christmas                               | EDWIN HARRIS         |            10
      69 | Debate                                  | GLENDA STOUT         |            10
     107 | Feminism                                | JOY ORR              |            10
     237 | Philosophy                              | KEITH BERNARD        |            10
     155 | Inner peace                             | KURT WADE            |            10
     195 | Maturity                                | LORI PATE            |            10
       6 | Acting                                  | MITCHELL DURHAM      |            10
      54 | Communism                               | MOLLY COHEN          |            10
      56 | Confidence                              | OSCAR WOODARD        |            10
     188 | Mankind                                 | TOMMY FISHER         |            10
     101 | Failure                                 | WILLIE HAYES         |            10
     193 | Masturbation                            | BERNARD MCCALL       |             9
     217 | Nature                                  | BETTY SYKES          |             9
     247 | Pride                                   | CAROLYN CONWAY       |             9
     175 | Learning                                | ELLA BURTON          |             9
     233 | Peace                                   | GLEN BROWNING        |             9
     174 | Leadership                              | GREGORY FRYE         |             9
     331 | Vegetarianism                           | KURT MALDONADO       |             9
      28 | Beauty                                  | KYLE LAWRENCE        |             9
     340 | Winter                                  | RHONDA FARLEY        |             9
     196 | Medicine                                | ROLAND ANTHONY       |             9
     344 | Words                                   | VALERIE GLENN        |             9
     191 | Marketing                               | ZACHARY BARTLETT     |             9
     324 | Trust                                   | ALFRED SHANNON       |             8
      47 | Chess                                   | CLAUDE TRAVIS        |             8
     147 | Middle name                             | GEORGE MCKEE         |             8
      58 | Conspiracy                              | JAN ROBERTSON        |             8
      79 | Dreams                                  | JOYCE MCLEOD         |             8
      11 | Age                                     | LISA MARQUEZ         |             8
     171 | Knowledge                               | LLOYD CALLAHAN       |             8
     248 | Procrastination                         | MARY ARNOLD          |             8
     295 | Space                                   | MINNIE MCLEAN        |             8
      90 | Waste                                   | STEVEN MONTOYA       |             8
     173 | Law                                     | TAMMY WYATT          |             8
     334 | Virtue                                  | BILLIE FISHER        |             7
     180 | Linguistics                             | BRUCE ELLIOTT        |             7
     204 | Motivation                              | DAISY MEYER          |             7
     207 | Form                                    | DENNIS RANDOLPH      |             7
     205 | Music                                   | DIANE KNOWLES        |             7
      20 | Apathy                                  | EDUARDO BUTLER       |             7
     269 | Sanity                                  | HARVEY UNDERWOOD     |             7
      83 | Economics                               | HUGH HORN            |             7
     286 | Slavery                                 | JACK CARROLL         |             7
     177 | Liberty                                 | JAY COOPER           |             7
     208 | Musicology                              | JOHN WARREN          |             7
     242 | Politics                                | KRISTEN FISCHER      |             7
     256 | Purpose                                 | KRISTI HOFFMAN       |             7
      37 | Boredom                                 | LLOYD STRONG         |             7
     152 | Independency                            | LYDIA ABBOTT         |             7
     128 | Greavement                              | MARCIA MENDEZ        |             7
     262 | Religion                                | MELINDA ORTIZ        |             7
     220 | Neglect                                 | PAM HESS             |             7
      66 | Cynicism                                | PRISCILLA RAMSEY     |             7
     214 | Tonality                                | RUSSELL CLEMONS      |             7
     186 | Loyalty                                 | SETH MARSH           |             7
     198 | Mercy                                   | THEODORE LARSON      |             7
     238 | Photography                             | YVETTE ATKINS        |             7
     190 | Marijuana                               | ALISON CHAMBERS      |             6
      10 | Advice                                  | ARMANDO KING         |             6
     149 | Ignorance                               | BELINDA JOHNS        |             6
     206 | Concert                                 | GEORGE MCKEE         |             6
     100 | Fact and theory                         | GERALD ROTH          |             6
     127 | Guru                                    | JAVIER ROMERO        |             6
      84 | Education                               | LARRY SULLIVAN       |             6
       8 | Adoption                                | LLOYD GUERRA         |             6
     309 | Technology                              | SHERRY WRIGHT        |             6
     317 | Transport                               | EDWARD MORGAN        |             5
     209 | New musicology                          | ERIK DAVIS           |             5
      17 | Anger                                   | FRANCISCO WYATT      |             5
      51 | Coffee                                  | KARL KAUFMAN         |             5
      95 | Europe                                  | KENT VALENCIA        |             5
     311 | Terrorism                               | KRISTY PACHECO       |             5
     297 | Spring                                  | MIGUEL WALSH         |             5
      45 | Chance                                  | MITCHELL DURHAM      |             5
     183 | Logic                                   | RICHARD WHITE        |             5
      24 | Atheism                                 | RONALD SCHMIDT       |             5
      63 | Cult                                    | SERGIO CAIN          |             5
     202 | Mothers                                 | SHELLEY NOBLE        |             5
     278 | Bisexuality                             | VIOLET BISHOP        |             5
     223 | Oil                                     | WILMA HOLMES         |             5
(350 rows)
